11 University Place	40.348178, -74.662915
Dodge-Osborn Hall	40.345484, -74.655742
Dodge-Osborn	40.345484, -74.655742
East Asian Library	40.346781, -74.655466
East Pyne Building	40.348769, -74.658471
East Pyne	40.348769, -74.658471
Edwards Hall	40.347154, -74.659276
Edwards Place Apartments	40.346656, -74.662348
Edwards	40.347154, -74.659276
Elementary Particles Lab Laboratory	40.344322, -74.645853
Engineering Library	40.350894, -74.651636
Engineering Quad	40.350751, -74.650512
Eno Hall	40.345432, -74.655269
Eno	40.345432, -74.655269
EQuad Cafe	40.350958, -74.650679
EQuad	40.350751, -74.650512
E-Quad	40.350751, -74.650512
Feinberg Hall	40.345803, -74.656523
Feinberg	40.345803, -74.656523
Ferris Thompson Apartments	40.347718, -74.648764
Fine Annex (Annex B)	40.345692, -74.652770
Fine Hall Wing, Lewis Library	40.345692, -74.652770
Fine Hall	40.345856, -74.652377
Fine	40.345856, -74.652377
Finney Field	40.345548, -74.647786
Firestone Library	40.349591, -74.657372
Firestone	40.349591, -74.657372
Fisher Hall Dorm	40.344683, -74.658229
Fisher Hall	40.348528, -74.654069
Fisher	40.344683, -74.658229
FitzRandolf Gate	40.349520, -74.659682
FitzRandolph Observatory	40.345680, -74.645661
FitzRandolph	40.345680, -74.645661
Food For Thought	40.346896, -74.655244
Forbes Addition	40.341656, -74.660670
Forbes College Dining Hall	40.342166, -74.660910
Forbes Common Room	40.341891, -74.661036
Forbes Dining Hall	40.342166, -74.660910
Forbes Main	40.342135, -74.661254
Forbes	40.342135, -74.661254
Forbes	40.342166, -74.660910
Forrestal Annex Library	40.355550, -74.612291
Forrestal Campus Data Center	40.345248, -74.616244
Foulke Hall	40.346364, -74.660944
Foulke	40.346364, -74.660944
Frelinghuysen Field	40.344616, -74.649406
Frick Chemistry Laboratory	40.344023, -74.650682
Frick	40.344023, -74.650682
Friend Center	40.350265, -74.652743
Friend	40.350265, -74.652743
Frist Campus Center	40.346872, -74.655255
Frist	40.346872, -74.655255
Furth Plasma Physics Library	40.350347, -74.604173
Garden Room	40.346973, -74.656549
Garden Theatre	40.350770, -74.657588
Gas Dynamics Laboratory	40.345497, -74.616233
Gauss Hall	40.345070, -74.656707
Gauss	40.345070, -74.656707
Genomics Cafe 40.344547, -74.653260
Genomics Coffee Service 40.344547, -74.653260	
Grad College Dining Hall	40.340504, -74.665570
Graduate College Dining Hall	40.340504, -74.665570
Graphic Arts Collection	40.349558, -74.657378
Green Hall	40.349772, -74.656094
Green	40.349772, -74.656094
Gulick Pavilion	40.341750, -74.653619
Guyot Hall	40.345895, -74.654506
Guyot	40.345895, -74.654506
Hamilton Hall	40.348099, -74.662244
Hamilton	40.348099, -74.662244
Hargadon Hall	40.343845, -74.658369
Hargadon	40.343845, -74.658369
Helm Building	40.336570, -74.655525
Henry Hall	40.345882, -74.660644
Henry House	40.349388, -74.658938
Henry	40.345882, -74.660644
Holder Hall	40.348749, -74.661271
Holder	40.348749, -74.661271
Hoyt Lab	40.349655, -74.654649
Hoyt Laboratory	40.349655, -74.654649
Humanities Resource Center	40.348757, -74.658472
Icahn Laboratory	40.344469, -74.653265
Icahn	40.344469, -74.653265
Industrial Relations Section	40.349795, -74.657480
Ivy Club	40.348186, -74.652206
Ivy	40.348186, -74.652206
Jadwin Gym	40.343463, -74.648647
Jadwin Hall	40.344908, -74.651700
Jadwin	40.344908, -74.651700
Jewish Life, Center for	40.346611, -74.653713
Jewish Life, Center For	40.346848, -74.653702
Joline Hall	40.347919, -74.662032
Joline	40.347919, -74.662032
Jones Hall	40.346433, -74.655903
Jones	40.346433, -74.655903
Labyrinth Books	40.350069, -74.658854
Labyrinth	40.350069, -74.658854
Laughlin Hall	40.346422, -74.660368
Laughlin	40.346422, -74.660368
Lauritzen Hall	40.343639, -74.658320
Lauritzen	40.343639, -74.658320
Lawrence Apartments	40.332845, -74.656908	
Lenz Tennis Center	40.341714, -74.655058
Lewis Library	40.346187, -74.652656
Lewis	40.346187, -74.652656
LGBT Center	40.346872, -74.655255
Library Annex A	40.522964, -74.454010
Little Hall	40.346809, -74.660197
Little	40.346809, -74.660197
Lockhart Hall	40.346685, -74.661260
Lockhart	40.346685, -74.661260
Lourie - Love Pavilion	40.342975, -74.654291
Lowrie House	40.346332, -74.669300
Lyman Spitzer Building	40.350370, -74.604076
Maclean House	40.349106, -74.660220
MacMillan Building	40.342259, -74.656947
Madison Hall	40.348610, -74.662547
Madison	40.348610, -74.662547
Map Collection	40.346220, -74.652736
Marquand Library of Art and Archaeology	40.347463, -74.658060
Marx Hall	40.348068, -74.655563
Marx	40.348068, -74.655563
Mathey College Dining Hall	40.348629, -74.662262
Mathey Common Room	40.348286, -74.661876
Mathey	40.348629, -74.662262
McCarter Theatre	40.344203, -74.660627
McCarter	40.344203, -74.660627
McCormick Hall	40.347167, -74.657795
McCormick	40.347167, -74.657795
McCosh Hall	40.348317, -74.656636
McCosh Health Center	40.346114, -74.655221
McCosh	40.348317, -74.656636
McDonnell Hall	40.345334, -74.652493
McDonnell	40.345334, -74.652493
Mendel Music Library	40.347325, -74.655943
Mendel	40.347325, -74.655943
Moffett Laboratory	40.345640, -74.653862
Moffett	40.345640, -74.653862
Mudd Library	40.349622, -74.652059
Mudd Manuscript Library	40.349599, -74.651987
Mudd	40.349622, -74.652059
Murley-Pivirotto Family Tower	40.343997, -74.658380
Murray Dodge	40.347931, -74.657931
Murray Theater	40.347989, -74.657659
Murray-Dodge	40.347931, -74.657931
Myslik Field	40.342581, -74.653967
Nassau Hall	40.348711, -74.659302
Near East Collections	40.349578, -74.657577
Neuroscience	40.343569, -74.652651
New Graduate College	40.340961, -74.666504
New South Building	40.343382, -74.658853
New South	40.343382, -74.658853
Old Graduate College	40.340933, -74.665348
Olden House	40.350929, -74.652278
Palmer Guest House	40.348931, -74.664255
Pardee Field	40.343830, -74.653481
Patton Hall	40.345280, -74.657361
Patton	40.345280, -74.657361
Peretsman-Scully Hall	40.343569, -74.652651
Peretsman-Scully	40.343569, -74.652651
Peyton Hall	40.346557, -74.651691
Peyton	40.346557, -74.651691
Plummer Field	40.342792, -74.653202
Poe Field	40.343339, -74.654991
Powers Field	40.345993, -74.650037
PPPL	40.350337, -74.604108
Princeton Neuroscience Institute	40.343569, -74.652651
Princeton Plasma Physics Lab Laboratory	40.350337, -74.604108
Princeton Stadium	40.345764, -74.649973
Princeton University Press	40.349926, -74.653701
Prospect House	40.347086, -74.656654
Prospect	40.347086, -74.656654
PUP	40.349926, -74.653701
Pyne Hall	40.345250, -74.659642
Pyne	40.345250, -74.659642
Quad	40.348045, -74.652702
Quadrangle Quad Club	40.348045, -74.652702
Rare Books and Special Collections Scheide Library, Department of	40.349656, -74.657646
Richardson Auditorium	40.348331, -74.660618
Richardson	40.348331, -74.660618
Roberts Stadium	40.342428, -74.653622
Robertson Hall	40.348405, -74.654734
Robertson	40.348405, -74.654734
Rock Magnetism Laboratory	40.345232, -74.655167
Rockefeller College Dining Hall	40.348610, -74.662547
Rocky Common Room	40.348629, -74.662075
Rocky Dining Hall	40.348610, -74.662547
Rocky Mathey Theater	40.348556, -74.662037
Rocky	40.348610, -74.662547
Sayre Hall	40.345183, -74.616286
Sayre	40.345183, -74.616286
Scheide Caldwell House	40.349499, -74.658535
Schultz Laboratory	40.345383, -74.654020
Schultz	40.345383, -74.654020
Scully Hall	40.344317, -74.654477
Scully	40.344317, -74.654477
Sexton Field	40.346450, -74.645952
Shea Rowing Center	40.339541, -74.650658
Sherrerd Field	40.341724, -74.651273
Sherrerd Hall	40.349554, -74.652703
Sherrerd	40.349554, -74.652703
Spelman Halls	40.344623, -74.659256
Spelman	40.344623, -74.659256
Spoon	40.347490, -74.660156
Springdale Club House	40.336797, -74.661979
Stadium	40.345764, -74.649973
Stanhope Hall	40.348743, -74.659991
Stanhope	40.348743, -74.659991
Stanworth Apartments	40.354085, -74.667436
Stokes Library for Public and International Affairs, Population Research Collection	40.349267, -74.653618
Stokes Library	40.349267, -74.653618
Streicker Bridge	40.344451, -74.652027
Strubing Field	40.346921, -74.646471
Studio 34	40.343927, -74.655830
Tennis Pavilion	40.341679, -74.653202
Terrace Club	40.347155, -74.653997
Terrace	40.347155, -74.653997
Thomas Laboratory	40.344972, -74.653825
Thomas	40.344972, -74.653825
TI	40.348807, -74.652260
Tiger Inn TI	40.348807, -74.652260
Tiger Inn	40.348807, -74.652260
Tower Club	40.347708, -74.653982
Tower	40.348807, -74.652260
University Archives	40.349599, -74.652078
Upper Strubing Field	40.347485, -74.647265
Von Neumann Hall	40.350472, -74.649097
Von Neumann	40.350472, -74.649097
Walker Hall	40.345549, -74.657008
Walker	40.345549, -74.657008
Wallace Hall	40.349262, -74.653642
Wallace	40.349262, -74.653642
Weaver Track Stadium	40.344626, -74.649434
Wendell Hall	40.344087, -74.658260
Wendell	40.344087, -74.658260
West College	40.348003, -74.659667
West Lodge	40.339663, -74.666455
Whig Hall	40.347853, -74.658634
Whig	40.347853, -74.658634
Whitman College Dining Hall	40.344192, -74.657622
Whitman Common Room	40.343928, -74.657566
Whitman Dining Hall	40.344192, -74.657622
Whitman	40.344192, -74.657622
Wilcox Hall	40.344839, -74.656113
Wilcox	40.344839, -74.656113
Wilf Hall	40.344414, -74.655177
Wilf	40.344414, -74.655177
Wilson College Dining Hall 40.344757, -74.656264
Wilson Common Room	40.344879, -74.656174
Wilson Dining Hall	40.344757, -74.656264
Wilson	40.344757, -74.656264
Witherspoon Cafe	40.346872, -74.655255
Witherspoon Hall	40.347490, -74.660156
Witherspoon	40.347490, -74.660156
Witherspoon's	40.346872, -74.655255
Woodrow Wilson School	40.348395, -74.654738
Woodrow Wilson	40.348395, -74.654738
Woody Woo	40.348395, -74.654738
Woolworth Center	40.347247, -74.655865
Woolworth	40.347247, -74.655865
Wright Hall	40.345272, -74.657307
Wright	40.345272, -74.657307
Wu Hall	40.344734, -74.656492
Wu	40.344734, -74.656492
Wyman Cottage	40.340178, -74.666266
Wyman House	40.340099, -74.665669
Yoseloff Hall	40.344343, -74.656144
Yoseloff	40.344343, -74.656144
